i;r;h;a;b;nr;nh;nt;v_f_min;v_f_max;t
1;80;300;-(4.5/18)*np.pi;0;80;100;90;0.000001;1.6e-3;[740,40,100]
2;110;345;(6/18)*np.pi;-(1/18)*np.pi;110;100;90;0.000001;1.6e-3;[530,-270,110]
3;90;800;-(9/18)*np.pi;0;90;100;90;0.000001;1.6e-3;[-775,150,0]
4;90;550;(7.8/18)*np.pi;(2.4/18)*np.pi;90;100;90;0.000001;0.0007;[425,510,-260]
5;120;550;-(3.75/18)*np.pi;(4/18)*np.pi;80;110;90;0.000001;0.0002;[-340,-320,370]
6;95;500;(1/18)*np.pi;(4/18)*np.pi;95;100;90;0.000001;1.6e-3;[-910,-595,80]
7;65;250;(0.75/18)*np.pi;(3/18)*np.pi;65;125;90;0.000001;0.001;[-750,-825,230]
8a;35;130;(1/18)*np.pi;-(1/18)*np.pi;70;130;90;0.000001;0.001;[-360,-1075,0]
8b;40;260;(2.5/18)*np.pi;-(0.5/18)*np.pi;80;130;90;0.000001;0.002;[-440,-1050,-70]
8c;50;250;(0.1/18)*np.pi;(4.1/18)*np.pi;100;120;90;0.000001;0.001;[-520,-980,-90]
9;120;430;(4.5/18)*np.pi;0;120;100;90;0.000001;0.002;[-140,920,120]
10;60;170;(3/18)*np.pi;-(6.5/18)*np.pi;120;85;90;0.000001;0.0005;[-910,350,-380]
11;60;185;(5/18)*np.pi;(1/18)*np.pi;120;95;90;0.000001;0.0009;[-260,150,240]
12;60;220;(2.2/18)*np.pi;-(0.25/18)*np.pi;120;110;90;0.000001;0.005;[-430,150,-70]
13;100;300;-(2.7/18)*np.pi;-(1.5/18)*np.pi;100;100;90;0.000001;0.0004;[320,130,-290]
14;100;480;(8/18)*np.pi;-(1/18)*np.pi;100;100;90;0.000001;1.6e-3;[-320,1010,250]
15;110;200;(9/18)*np.pi;0;110;100;90;0.000001;0.0004;[-170,-570,-20]
16;100;120;0;0;100;100;90;0.000001;0.0008;[-920,120,-215]
17;100;700;(3.5/18)*np.pi;(1/18)*np.pi;100;100;90;0.000001;0.001;[-180,50,-250]
18;105;325;(8/18)*np.pi;-(3.5/18)*np.pi;105;100;90;0.000001;0.0006;[195,600,230]
19;200;550;(4.5/18)*np.pi;0;100;110;90;0.000001;0.002;[-45,-875,0]
20;100;420;-(4.5/18)*np.pi;-(1/18)*np.pi;100;105;90;0.000001;0.0006;[960,200,190]
21a;70;340;(8.4/18)*np.pi;(0.5/18)*np.pi;70;100;90;0.000001;1.6e-3;[-980,-190,0]
21b;55;420;(8.4/18)*np.pi;(0.5/18)*np.pi;110;105;90;0.000001;1.6e-3;[-1040,-40,80]
21c;85;460;(8.7/18)*np.pi;-(1.15/18)*np.pi;85;115;90;0.000001;1.6e-3;[-1070,40,-60]
22;55;200;(0.8/18)*np.pi;-(0.5/18)*np.pi;110;100;90;0.000001;0.001;[20,170,-60]
23;40;200;-(1.7/18)*np.pi;(0.5/18)*np.pi;80;100;90;0.000001;0.0008;[80,190,40]
