,"i","mean","std","staterr","errsum","err/mean[%]"
1,1,"100621,780080258","3655,33966059504","211,363691948422","3866,70335254346","3,84280952837378"
2,2,"61721,6731812381","3442,65952456043","174,996370134101","3617,65589469453","5,86124080608076"
3,3,"212416,368866844","43334,756515862","575,616558764767","43910,3730746268","20,6718405501756"
4,4,"50544,1511997859","6491,45173552616","188,47232204273","6679,92405756889","13,2160178754712"
5,5,"42665,7596141832","3705,87510521117","111,831633425444","3817,70673863661","8,94794039332539"
6,6,"103182,351247104","9851,54187710399","295,21069237169","10146,7525694757","9,83380631167822"
7,7,"19646,9603934648","1099,69033509587","48,2469617052272","1147,93729680109","5,84282389647882"
"8a","8a","11638,6161885647","3063,39740742195","21,8297779511165","3085,22718537307","26,5085396355316"
"8b","8b","21239,7421875056","5414,38637342841","39,4643779998578","5453,85075142827","25,6775751008717"
"8c","8c","18808,8375620793","3185,96571225514","36,6229731663743","3222,58868542151","17,1333750678915"
9,9,"305911,427181428","42525,5184989935","852,353309722518","43377,8718087161","14,1798795188484"
10,10,"10771,2961929042","406,966363791083","21,3197931021333","428,286156893216","3,97618029643784"
11,11,"20992,8775737505","1589,99359935971","41,8957410812243","1631,88934044094","7,7735381188592"
12,12,"70157,190549481","5611,05501938208","119,274961468023","5730,3299808501","8,16784414536749"
13,13,"42253,7648538291","3628,09888487695","85,8221058480544","3713,92099072501","8,78956231136514"
14,14,"306595,305223554","22940,191676013","547,223174360586","23487,4148503736","7,66072227793826"
15,15,"33301,5747929143","1442,45889603335","104,156129470981","1546,61502550433","4,64426993354503"
16,16,"56234,5127913476","1796,7386681746","99,0402801421415","1895,77894831674","3,37120187268419"
17,17,"158283,087419572","28108,7301581403","425,87347386106","28534,6036320013","18,0275758435029"
18,18,"15729,1469916481","1675,71712706294","64,7472251196125","1740,46435218255","11,0652176695068"
19,19,"989257,199562135","50605,6352848549","1868,26675889005","52473,902043745","5,30437403609203"
20,20,"105670,387131178","18606,8721705474","248,174480128098","18855,0466506755","17,8432644779365"
"21a","21a","128349,401457662","17200,8993237628","290,416642756477","17491,3159665193","13,6278905611329"
"21b","21b","112039,733613911","13270,0494545397","178,798269700803","13448,8477242406","12,0036412890674"
"21c","21c","115691,007485887","20148,9073467576","259,079704076637","20407,9870508342","17,6400806720641"
22,22,"21107,7114209081","2427,51258231755","40,9779198747904","2468,49050219234","11,6947330431436"
23,23,"15903,7555259464","6456,17135453661","45,6662346409225","6501,83758917753","40,8824040244458"
